state_name,district_name,market_name
Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ) APMC
Punjab,Fazilka,Abohar APMC
Uttar Pradesh,Auraiya,Achalda APMC
Uttar Pradesh,Agra,Achnera APMC
Kerala,Idukki,Adimali APMC
Kerala,Kottayam,Adithyapuram  VFPCK APMC
Kerala,Palakad,Agali VFPCK APMC
Uttar Pradesh,Agra,Agra APMC
Uttar Pradesh,Mirzapur,Ahirora APMC
Punjab,Sangrur,Ahmedgarh APMC
Maharashtra,Ahmednagar,Ahmednagar APMC
Rajasthan,Ajmer,Ajmer(F&V) APMC
Uttar Pradesh,Ambedkarnagar,Akbarpur APMC
Jammu and Kashmir,Jammu,Akhnoor APMC
Kerala,Idukki,Alacode  VFPCK APMC
Tamil Nadu,Pudukkottai,Alangudi(Uzhavar Sandhai ) APMC
Kerala,Alappuzha,Alappuzha APMC
Kerala,Palakad,Alenellur  VFPCK APMC
Kerala,Thirssur,Alengad  VFPCK APMC
Uttar Pradesh,Aligarh,Aligarh APMC
Uttar Pradesh,Prayagraj,Allahabad APMC
Kerala,Ernakulam,Aluva APMC
Rajasthan,Alwar,Alwar (F&V) APMC
Kerala,Ernakulam,Amalapuram  VFPCK APMC
Andhra Pradesh,East Godavari,Ambajipeta APMC
Haryana,Ambala,Ambala Cantt. APMC
Haryana,Ambala,Ambala City(Subji Mandi) APMC
Kerala,Thirssur,Amballur  VFPCK APMC
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ) APMC
Kerala,Kollam,Anchal APMC
Kerala,Kollam,Anchal VFPCK APMC
Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ) APMC
Kerala,Malappuram,Angadippuram VFPCK APMC
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ) APMC
Kerala,Thirssur,Annamanada  VFPCK APMC
Kerala,Thiruvananthapuram,Anyara(EEC) APMC
Tamil Nadu,Thiruvannamalai,Arani(Uzhavar Sandhai ) APMC
Tamil Nadu,Pudukkottai,Aranthangi(Uzhavar Sandhai ) APMC
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ) APMC
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai) APMC
Kerala,Alappuzha,Aroor APMC
Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ) APMC
Kerala,Thiruvananthapuram,Aryanad VFPCK APMC
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh) APMC
Uttar Pradesh,Banda,Atarra APMC
Kerala,Malappuram,Athanikkal VFPCK APMC
Kerala,Kottayam,Athirampuzha APMC
Kerala,Thiruvananthapuram,Athiyannur VFPCK APMC
Tamil Nadu,Salem,Athur(Uzhavar Sandhai ) APMC
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC
Kerala,Thiruvananthapuram,Attingal APMC
Uttar Pradesh,Auraiya,Auraiya APMC
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ) APMC
Kerala,Kottayam,Avarma  VFPCK APMC
Kerala,Kottayam,Aymanam VFPCK APMC
NCT of Delhi,Delhi,Azadpur APMC
Punjab,Moga,Baghapurana APMC
Nagaland,Wokha,Baghty APMC
Haryana,Jhajar,Bahadurgarh APMC
Uttar Pradesh,Bahraich,Bahraich APMC
Kerala,Thiruvananthapuram,Balaramapuram  VFPCK APMC
Kerala,Thiruvananthapuram,Balarampuram APMC
Uttar Pradesh,Ballia,Ballia APMC
Uttar Pradesh,Sagar,Banda APMC
Uttar Pradesh,Unnao,Bangarmau APMC
Punjab,Mohali,Banur APMC
Uttar Pradesh,Barabanki,Barabanki APMC
Haryana,Ambala,Barara APMC
Uttar Pradesh,Bareilly,Bareilly APMC
Punjab,Muktsar,Bariwala APMC
Punjab,Barnala,Barnala APMC
Assam,Barpeta,Barpeta Road APMC
Haryana,Hissar,Barwala(Hisar) APMC
Punjab,Fatehgarh,Bassi Pathana APMC
Punjab,Bhatinda,Bathinda APMC
Jammu and Kashmir,Jammu,Batote APMC
Uttarakhand,Udhamsinghnagar,Bazpur APMC
Punjab,Bhatinda,Bhagta Bhai Ka APMC
Uttarakhand,Haridwar,Bhagwanpur(Naveen Mandi Sthal) APMC
Kerala,Kottayam,Bharananganam APMC
Uttar Pradesh,Etawah,Bharthna APMC
Uttar Pradesh,Hamirpur,Bharuasumerpur APMC
Uttar Pradesh,Kaushambi,Bharwari APMC
Punjab,Sangrur,Bhawanigarh APMC
Uttar Pradesh,Shravasti,Bhinga APMC
Haryana,Bhiwani,Bhiwani APMC
Madhya Pradesh,Bhopal,Bhopal(F&V) APMC
Rajasthan,Bikaner,Bikaner (F&V) APMC
Uttar Pradesh,Bilaspur,Bilaspur APMC
Chattisgarh,Bilaspur,Bilaspur APMC
Uttar Pradesh,Fatehpur,Bindki APMC
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC"
Uttar Pradesh,Pillibhit,Bishalpur APMC
Manipur,Bishnupur,Bishenpur APMC
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC
Punjab,Mansa,Budalada APMC
Haryana,Bhiwani,Ch. Dadri APMC
Kerala,Thiruvananthapuram,Chala APMC
Kerala,Thirssur,Chalakudy APMC
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC
Tripura,West District,Champaknagar APMC
Karnataka,Bangalore,Channapatana APMC
Uttar Pradesh,Aligarh,Charra APMC
Kerala,Kollam,Chathanoor APMC
Kerala,Thirssur,Chavakkad APMC
